rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
59,tsmom_60__missing,tsmom_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
60,vol_managed_momentum__missing,vol_managed_momentum,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
64,seasonality_3y__missing,seasonality_3y,quality_flag,data_quality,-0.0079918191832497,0.4822695035460992,-0.0380021747522264,-0.0165508482172378,-0.2703367124810928,-0.1820843090994673,-0.2703367124810928,-0.7642680251321213,-1.0935555668994736,-1.9167744213178548,6,4,2
66,term_structure_momentum__missing,term_structure_momentum,quality_flag,data_quality,-0.0085977675879954,0.4809027777777778,-0.0361571800613936,0.0034069095979374,0.0476486099260839,-0.1684371975850748,0.0476486099260839,-0.3752842336800633,-0.6572394627508285,-1.362127535427741,6,3,4
71,term_structure_acceleration__missing,term_structure_acceleration,quality_flag,data_quality,-0.0124288313212734,0.477491961414791,-0.0515798298256232,0.0053969782083486,0.0746158292171522,-0.1560270128976393,0.0746158292171522,-0.3434667696779599,-0.6221885022747016,-1.3189928337665553,6,2,3
73,inventory_surprise__missing,inventory_surprise,quality_flag,data_quality,-0.0132977561145248,0.4542483660130719,-0.0559190837681333,-0.0164129895766253,-0.3005831751937159,-0.1564677192981736,-0.3005831751937159,-0.8543905833701672,-1.2235955221544683,-2.146607869115221,6,3,1
75,term_structure_slope__missing,term_structure_slope,quality_flag,data_quality,-0.0145352596323422,0.4679752066115702,-0.0623316375989295,-0.0028308790343857,-0.0408507343729496,-0.1685679748941179,-0.0408507343729496,-0.4772262179004625,-0.7681432069188048,-1.49543567946466,6,4,2
76,inventory_scarcity__missing,inventory_scarcity,quality_flag,data_quality,-0.0165420690631338,0.4626038781163435,-0.0713697839695583,-0.0276855088050705,-0.4822931139225623,-0.1777043795393708,-0.4822931139225623,-1.0090865302078056,-1.3602821410646349,-2.238271168206707,6,3,2
77,inventory_change_5__missing,inventory_change_5,quality_flag,data_quality,-0.0182806135059399,0.4570637119113573,-0.0765702051947495,-0.027297064928499,-0.424680606930573,-0.1848692918855258,-0.424680606930573,-0.895146629091537,-1.2087906438655134,-1.9929006808004532,6,3,2
78,inventory_price_divergence__missing,inventory_price_divergence,quality_flag,data_quality,-0.0182806135059399,0.4570637119113573,-0.0765702051947495,-0.027297064928499,-0.424680606930573,-0.1848692918855258,-0.424680606930573,-0.895146629091537,-1.2087906438655134,-1.9929006808004532,6,3,2
