rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
21,term_structure_acceleration__csz,term_structure_acceleration,predictor,term_structure,0.0158983859867872,0.5344827586206896,0.0698057654458787,0.0106575813129969,0.1275694213704428,-0.1881100906554939,0.1275694213704428,-0.2343981948219571,-0.475709938950224,-1.0789892992708907,6,5,4
15,term_structure_slope__csz,term_structure_slope,predictor,term_structure,0.0203720925302812,0.5462068965517242,0.0769802372051504,0.0109160080963481,0.1071901158022828,-0.2320658878596666,0.1071901158022828,-0.1897526011003763,-0.3877144123688161,-0.8826189405399149,6,4,3
44,warehouse_surprise__csz,warehouse_surprise,predictor,information_news,0.0021393938917047,0.4895251396648045,0.0105569473388597,0.0051121647941811,0.0769781566894727,-0.0966824205845761,0.0769781566894727,-0.3783709081410044,-0.6819369513613229,-1.4408520594121184,6,3,3
71,term_structure_acceleration__missing,term_structure_acceleration,quality_flag,data_quality,-0.0124288313212734,0.477491961414791,-0.0515798298256232,0.0053969782083486,0.0746158292171522,-0.1560270128976393,0.0746158292171522,-0.3434667696779599,-0.6221885022747016,-1.3189928337665553,6,2,3
74,seasonality_3y__csz,seasonality_3y,predictor,value_reversion,-0.0138056763095778,0.4862068965517241,-0.0563031787199484,0.0062990825974877,0.072980374428907,-0.1734306129838203,0.072980374428907,-0.2773764415954347,-0.5109476522783293,-1.0948756789855656,6,2,2
66,term_structure_momentum__missing,term_structure_momentum,quality_flag,data_quality,-0.0085977675879954,0.4809027777777778,-0.0361571800613936,0.0034069095979374,0.0476486099260839,-0.1684371975850748,0.0476486099260839,-0.3752842336800633,-0.6572394627508285,-1.362127535427741,6,3,4
47,vol_managed_momentum__csz,vol_managed_momentum,predictor,trend_momentum,-0.0005668155527512,0.5131034482758621,-0.0025389787571616,0.002045899158362,0.03122505480324,-0.1160758490962718,0.03122505480324,-0.4303058341414364,-0.7379930934378878,-1.507211241679015,6,2,3
30,term_structure_momentum__csz,term_structure_momentum,predictor,term_structure,0.012759894667376,0.54,0.0538386037710447,0.0010504144338997,0.0118668367388179,-0.2164971816681897,0.0118668367388179,-0.329763220313591,-0.5575165916818638,-1.1269000201025454,6,5,3
2,correlation_risk_20_120__missing,correlation_risk_20_120,quality_flag,data_quality,0.0594540130442625,0.6333333333333333,0.3765093544971773,0.0003262887690299,0.0059003083717394,-0.1179029018336728,0.0059003083717394,-0.5409322586572923,-0.905487303343314,-1.8168749150583672,6,2,1
69,multi_horizon_trend__csz,multi_horizon_trend,predictor,trend_momentum,-0.009523554064433,0.4951724137931034,-0.0374816136063227,0.0002499132095313,0.0029181368742117,-0.2236532208119682,0.0029181368742117,-0.3501822824339207,-0.585582561972676,-1.1740832608195635,6,2,4
