factor_id,horizon_days,ic_mean,rank_ic,date_count
value_252,5d_signal_delayed_1d,,0.00961711531164521,1449
short_reversal_5,1,0.016599736160279877,0.020453864960779226,1454
short_reversal_5,5,0.021634013086876226,0.01823538577892443,1450
short_reversal_5,20,0.009839961624813818,0.006137826949202203,1435
short_reversal_5,5d_signal_delayed_1d,,0.014404655118633378,1449
inventory_scarcity,1,-0.004273831443661908,-0.0037779607330175493,1410
inventory_scarcity,5,-0.008725828083170208,-0.003983286883071031,1403
inventory_scarcity,20,0.009052535592938024,-0.0010691062192842878,846
inventory_scarcity,5d_signal_delayed_1d,,-0.005998133236679373,1402
inventory_change_5,1,0.004841589114115443,0.007743778392378194,1448
inventory_change_5,5,0.013798497103777424,0.022341903370581895,1444
inventory_change_5,20,0.008655942741046413,0.007078248121528635,1142
inventory_change_5,5d_signal_delayed_1d,,0.019674652382723087,1443
inventory_surprise,1,0.021369298844553176,0.017166763511006353,254
inventory_surprise,5,-0.028937075808751475,-0.01378290215151934,252
inventory_surprise,20,-0.04206830700696843,-0.018169717063982592,141
inventory_surprise,5d_signal_delayed_1d,,0.005864678832500331,254
warehouse_tightness,1,0.006693013922576851,0.009907899623424596,1433
warehouse_tightness,5,0.022407099759153244,0.023420851008410782,1429
warehouse_tightness,20,0.04816722565728288,0.0631626124239103,1414
warehouse_tightness,5d_signal_delayed_1d,,0.024119661499193434,1428
tightness_composite,1,0.003324920397699393,0.010828897806448478,1384
tightness_composite,5,0.009738515570035241,0.01863344863400154,1381
tightness_composite,20,0.052292852819832245,0.06000545090808357,1289
tightness_composite,5d_signal_delayed_1d,,0.017485219751016964,1379
oi_growth_20,1,-8.650128263466352e-05,-0.00016871473612295774,1454
oi_growth_20,5,0.007505955781297694,0.01450114879612039,1450
oi_growth_20,20,0.0034272976066104855,0.0035323711443892205,1435
oi_growth_20,5d_signal_delayed_1d,,0.015000490165446263,1449
price_oi_interaction_20,1,0.006445391746265816,0.001928483211093733,1454
price_oi_interaction_20,5,0.001286671543803133,0.005501018014715499,1450
price_oi_interaction_20,20,0.005492133599320286,-0.012521933735641318,1435
price_oi_interaction_20,5d_signal_delayed_1d,,0.005508674282267162,1449
hedging_pressure,1,,,0
hedging_pressure,5,,,0
hedging_pressure,20,,,0
hedging_pressure,5d_signal_delayed_1d,,,0
volume_shock_20,1,-0.005919597035685929,-0.0061730111955935925,1454
volume_shock_20,5,0.007928096328935081,0.006370805522776389,1450
volume_shock_20,20,-0.012375022045580409,-0.015788768509941375,1435
volume_shock_20,5d_signal_delayed_1d,,0.007443378400918016,1449
amihud_20,1,0.008950159207877095,0.008437496091136197,1454
amihud_20,5,0.01335655126365151,0.011523969594627781,1450
amihud_20,20,0.046428651063894794,0.02785049101089523,1435
amihud_20,5d_signal_delayed_1d,,0.011848678373769203,1449
turnover_oi,1,0.007597241775405507,0.005792604369777273,1454
turnover_oi,5,0.007728452378745497,0.007243520662171785,1450
turnover_oi,20,0.005798909897947536,0.01571581303021254,1435
turnover_oi,5d_signal_delayed_1d,,0.007566292044941056,1449
realized_volatility_20,1,0.008593209993522824,0.00613483536536769,1454
realized_volatility_20,5,0.013693595004576656,0.012801488853530515,1450
realized_volatility_20,20,0.0202688379469023,0.02334210708510003,1435
realized_volatility_20,5d_signal_delayed_1d,,0.011926915039567009,1449
low_volatility_20,1,-0.01005695626740932,-0.00613483536536769,1454
low_volatility_20,5,-0.018811017777461577,-0.012801488853530515,1450
low_volatility_20,20,-0.031690109668166745,-0.02334210708510003,1435
low_volatility_20,5d_signal_delayed_1d,,-0.011926915039567009,1449
realized_skewness_60,1,-0.0015259347426092923,-0.004792344201507613,1454
realized_skewness_60,5,-0.008694193612661097,-0.014390596337336617,1450
realized_skewness_60,20,-0.018084851734647883,-0.01836341189575,1435
realized_skewness_60,5d_signal_delayed_1d,,-0.014862900857920391,1449
seasonality_3y,1,0.0009438739139897772,-0.0016084842742165738,1454
seasonality_3y,5,-0.014474936473444978,-0.01380777835854408,1450
seasonality_3y,20,-0.035196904179166266,-0.036332322040235496,1435
seasonality_3y,5d_signal_delayed_1d,,-0.019553538129858286,1449
industry_chain_residual,1,,,0
industry_chain_residual,5,,,0
industry_chain_residual,20,,,0
industry_chain_residual,5d_signal_delayed_1d,,,0
sector_relative_value_60,1,-0.004814127420353775,-0.0023319491072265387,1454
sector_relative_value_60,5,-0.012547551121624074,-0.010842763654347769,1450
sector_relative_value_60,20,-0.022794702000441057,-0.02319083970166103,1435
