feature_name,fold_id,test_year,rank_ic_mean,rank_ic_hit_rate,gross_sharpe,net_5bps_sharpe,gross_annual_return,strategy_days,applied_direction,direction_source
carry_change_20__csz,fold_2019,2019,0.013394563690916138,0.5614754098360656,-0.42428211447913794,-1.0999164051996695,-0.03164999003668647,49,1,catalog
carry_change_20__csz,fold_2020,2020,-0.026270477488156845,0.3868312757201646,-0.9004358089284331,-1.397836876195025,-0.09123817329018648,49,1,catalog
carry_change_20__csz,fold_2021,2021,-0.005514019581832227,0.4691358024691358,-0.041333651930720534,-0.5647569379204407,-0.003979983529714856,49,1,catalog
carry_change_20__csz,fold_2022,2022,-0.014123551057431316,0.5165289256198347,-0.20862287613017502,-0.7378243101444794,-0.019868791505724855,49,1,catalog
carry_change_20__csz,fold_2023,2023,0.014700788346066326,0.49173553719008267,-0.6537890109396067,-1.4006127768302483,-0.044121475047141506,49,1,catalog
carry_change_20__csz,fold_2024,2024,-0.03730945238078162,0.4322033898305085,-0.9197421849914473,-1.5870756224744682,-0.06946303529822509,48,1,catalog
carry_change_20__missing,fold_2019,2019,-0.02669558412267034,0.46987951807228917,-0.537526030259418,-1.6318462645152239,-0.024756292607070504,49,1,catalog
carry_change_20__missing,fold_2020,2020,0.06436251898326777,1.0,-0.5690743364553393,-1.3439666875746297,-0.037013330323780395,49,1,catalog
carry_change_20__missing,fold_2021,2021,,,1.5642098577166086,0.7723664738550851,0.09956031512754779,49,1,catalog
carry_change_20__missing,fold_2022,2022,,,-0.23159866448807973,-1.1205232092888318,-0.013131117549257876,49,1,catalog
carry_change_20__missing,fold_2023,2023,,,-0.45791734762583247,-1.5213253591354663,-0.021702896790836226,49,1,catalog
carry_change_20__missing,fold_2024,2024,,,-0.36302699532375693,-1.3978290196508638,-0.01768121837238859,48,1,catalog
correlation_risk_20_120__csz,fold_2019,2019,-0.039235326706923,0.4180327868852459,-0.41158091474654934,-1.0150976149033548,-0.03437134067348339,49,-1,catalog
correlation_risk_20_120__csz,fold_2020,2020,-0.017571505810767968,0.45267489711934156,0.24870402907152214,-0.3418505682067559,0.021225273874717114,49,-1,catalog
correlation_risk_20_120__csz,fold_2021,2021,-0.018156434750148654,0.4567901234567901,-0.07665508115692246,-0.4647131855201381,-0.009955767053618348,49,-1,catalog
correlation_risk_20_120__csz,fold_2022,2022,-0.03738677671984037,0.4214876033057851,-1.354401318773395,-1.961349974323317,-0.11246721751831042,49,-1,catalog
correlation_risk_20_120__csz,fold_2023,2023,-0.05087726326650024,0.4132231404958678,-0.917849307010422,-1.74324899910426,-0.0560450961109228,49,-1,catalog
correlation_risk_20_120__csz,fold_2024,2024,-0.021722795934657216,0.4830508474576271,-0.6250506014541387,-1.1796471906495734,-0.056802639841312494,48,-1,catalog
correlation_risk_20_120__missing,fold_2019,2019,0.0834315026509712,0.6111111111111112,-0.5932134763754519,-1.6268732770759167,-0.02892437065760154,49,-1,catalog
correlation_risk_20_120__missing,fold_2020,2020,0.05522269134896106,0.6372549019607843,-0.25663853890690036,-1.0391072220438626,-0.016530479289026994,49,-1,catalog
correlation_risk_20_120__missing,fold_2021,2021,,,1.5642098577166086,0.7723664738550851,0.09956031512754779,49,-1,catalog
correlation_risk_20_120__missing,fold_2022,2022,,,-0.23159866448807973,-1.1205232092888318,-0.013131117549257876,49,-1,catalog
correlation_risk_20_120__missing,fold_2023,2023,,,-0.45791734762583247,-1.5213253591354663,-0.021702896790836226,49,-1,catalog
correlation_risk_20_120__missing,fold_2024,2024,,,-0.36302699532375693,-1.3978290196508638,-0.01768121837238859,48,-1,catalog
csmom_60__csz,fold_2019,2019,-0.013701326374898378,0.5,0.3701383830109586,-0.28493344781688557,0.028477754081071033,49,1,catalog
csmom_60__csz,fold_2020,2020,0.02464978204197525,0.5802469135802469,0.28225882750988807,-0.1139060960041563,0.03590889566979558,49,1,catalog
